short_title,ISSN,impact,long_title,nlmuid
INT J CARDIOVAS IMAG,1569-5794,0.789,International Journal of Cardiovascular Imaging,100969716
INT J HYPERTHER,0265-6736,1.888,International Journal of Hyperther,8508395
INT J RADIAT BIOL,0955-3002,2.136,International Journal of Radiation Biology,8809243
INT J RADIAT ONCOL,0360-3016,4.297,International Journal of Radiation Oncology,7603616
INVEST RADIOL,0020-9996,2.32,Investigative Radiology,0045377
J AM COLL CARDIOL,0735-1097,9.6,Journal of the americal college of Cardiology,8301365
J BIOMED OPT,1083-3668,3.455,Journal of Biomedical Optics,9605853
J CARDIOV MAGN RESON,1097-6647,1.898,Journal of Cardiovascular Magnetic Resonance,9815616
J CLIN ULTRASOUND,0091-2751,0.82,Journal of Clinical Ultrasound,0401663
J COMPUT ASSIST TOMO,0363-8715,1.357,Journal of Computer Assisted Tomography,7703942
J DIGIT IMAGING,0897-1889,2.098,Journal of Digital Imaging,9100529
J MAGN RESON IMAGING,1053-1807,2.935,Journal of Magnetic Resonance Imaging,9105850
J NEUROIMAGING,1051-2284,1.068,Journal of Neuroimaging,9102705
J NEURORADIOLOGY,0150-9861,0.962,Journal of Neuroradiology,7705086
J NUCL CARDIOL,1071-3581,2.44,Journal of Nuclear Cardiology,9423534
J NUCL MED,0161-5505,5.362,Journal of Nuclear Medicine,0217410
J RADIAT RES,0449-3060,1.191,Journal of Radiation Research,0376611
J RADIOL,0221-0363,0.271,Journal de radiologie,7906266
J THORAC IMAG,0883-5993,0.709,Journal of Thoracic Imaging,8606160
J ULTRAS MED,0278-4297,1.01,Journal of ultrasound in medicine,8211547
J VASC INTERV RADIOL,1051-0443,1.679,Journal of Vascular and Interventional Radiology,9203369
KOREAN J RADIOL,1229-6929,1.5,Korean Journal of Radiology,100956096
MAGN RESON IMAGING,0730-725X,1.469,Magnetic Resonance Imaging,8214883
MAGN RESON MATER PHY,0968-5243,1.431,Magma,93105752
MAGNET RESON MED,0740-3194,3.468,Magnetic Resonance in Medicine,8505245
MED IMAGE ANAL,1361-8415,3.212,Medical Image Analysis,9713490
MED PHYS,0094-2405,2.748,Medical Physics,0425746
NAT CLIN PRACT CARD,1743-4297,2.723,Nature clinical practice. Cardiovascular medicine,101226507
NEUROIMAG CLIN N AM,1052-5149,0.837,Neuroimaging clinics of North America,9211377
NEUROIMAGE,1053-8119,4.869,NeuroImage,9215515
NEURORADIOLOGY,0028-3940,1.515,Neuroradiology,1302751
NMR BIOMED,0952-3480,3.414,NMR in Biomedicine,8915233
NUCL MED BIOL,0969-8051,2.713,Nuclear Medicine and Biology,9304420
NUCL MED COMMUN,0143-3636,1.602,Nuclear Medicine Communications,8201017
NUKLEARMED-NUCL MED,0029-5566,1.95,Nuclear-Medizin,7607194
PEDIATR RADIOL,0301-0449,1.052,Pediatric Radiology,0365332
PHYS MED BIOL,0031-9155,2.368,Physics in Medicine and Biology,0401220
Q J NUCL MED MOL IM,1824-4785,2.194,Quarterly Journal of Nuclear Medicine and Molecular Imaging,101213861
RADIAT ENVIRON BIOPH,0301-634X,1.246,Radiation and Environmental Biophysics,0415677
RADIAT PROT DOSIM,0144-8420,0.68,Radiation Protection Dosimetry,8109958
RADIAT RES,0033-7587,3.228,Radiation Research,0401245
RADIOGRAPHICS,0271-5333,2.494,Radiographics,8302501
RADIOL CLIN N AM,0033-8389,1.869,Radiologic Clinics of North America,0123703
RADIOLOGE,0033-832X,0.5,Der Radiologe,0401257
RADIOLOGY,0033-8419,5.076,Radiology,0401260
RADIOTHER ONCOL,0167-8140,3.034,Radiotherapy and oncology,8407192
ROFO-FORTSCHR RONTG,1438-9029,1.767,RoFo,7507497
SEMIN NUCL MED,0001-2998,5.8,Seminars in Nuclear Medicine,1264464
SEMIN RADIAT ONCOL,1053-4296,2.899,Seminars in Radiation Oncology,9202882
SEMIN ROENTGENOL,0037-198X,0.734,Seminars in Roentgenology,0053252
SEMIN ULTRASOUND CT,0887-2171,0.688,"Seminars in Ultrasound, CT and MR",8504689
SKELETAL RADIOL,0364-2348,0.88,Skeletal Radiology,7701953
STRAHLENTHER ONKOL,0179-7158,3.121,Strahlentherapie and Onkologie,8603469
SURG RADIOL ANAT,1279-8517,0.369,Surgical and Radiologic Anatomy,8608029
ULTRASCHALL MED,0172-4614,1.48,Ultraschall in der Medizin,8303585
ULTRASONIC IMAGING,0161-7346,1.265,Ultrasonic Imaging,7909167
ULTRASONICS,0041-624X,1.175,Ultrasonics,0050452
ULTRASOUND MED BIOL,0301-5629,2.064,Ultrasound in Medicine and Biology,0410553
ULTRASOUND OBST GYN,0960-7692,2.167,Ultrasound in Obstetrics and Gynecology,9108340
